  110.01  100.00   68.15  137.44  100.00   33.86
   17
   34.25   29.40   18.25   37.42   27.23    9.22
   51.89   31.00    4.64   41.66   22.93    2.70
   76.66   60.80    5.64  104.77   72.82    5.27
   22.62   30.30   17.56   20.27   26.24    9.73
   27.56   30.72    6.66   28.45   28.49    4.70
   53.51   25.20    4.64   77.21   34.33    3.16
   66.05   35.69   12.35   91.12   44.78    8.35
   30.41   30.25   28.26   31.03   28.20   19.22
   67.91   70.41    9.15   75.42   66.97    8.12
   28.60   14.48    4.64   20.90    9.86    1.94
   91.68   77.45   47.44  127.02   92.42   31.31
   61.89   32.98    4.10  106.12   54.72    5.25
   55.63   44.18    4.96   66.54   45.82    3.81
   58.46   59.39   43.49   60.64   55.57   23.36
   34.25   29.40   18.25   54.34   39.54   13.39
   90.50   63.38   41.63   71.17   46.07   20.61
   48.57   60.47   20.42   35.73   39.48   10.02
