   94.46  100.00  108.62  115.19  100.00   23.75
 40
   18.68   18.42   21.85   21.64   18.42    4.85
   18.91   18.42   18.57   22.31   18.42    4.15
   18.52   18.42   15.23   22.47   18.42    3.77
   17.40   18.42   13.45   21.76   18.42    3.15
   16.93   18.42   13.57   20.36   18.42    3.34
   15.64   18.42   17.97   19.31   18.42    4.04
   15.66   18.42   21.58   18.60   18.42    5.50
   16.71   18.42   25.14   19.90   18.42    6.12
   19.87   18.42   23.87   22.12   18.42    5.50
   20.14   18.42   17.24   23.29   18.42    3.98
   19.48   18.42   10.54   23.53   18.42    3.04
   17.40   18.42    8.51   22.10   18.42    2.06
   16.25   18.42    8.91   19.90   18.42    2.53
   14.43   18.42   16.77   17.99   18.42    4.02
   14.61   18.42   22.76   17.15   18.42    6.12
   16.50   18.42   29.96   19.02   18.42    7.67
   21.08   18.42   26.83   22.96   18.42    6.20
   22.01   18.42   15.14   24.70   18.42    3.72
   20.83   18.42    7.54   24.98   18.42    2.26
   17.40   18.42    5.02   22.47   18.42    1.15
   15.71   18.42    5.64   19.22   18.42    1.65
   13.07   18.42   15.54   16.59   18.42    3.98
   13.39   18.42   24.29   16.25   18.42    6.61
   16.59   18.42   35.45   18.64   18.42    9.09
   22.29   18.42   30.03   24.41   18.42    7.35
   24.53   18.42   12.70   27.32   18.42    3.00
   22.84   18.42    5.13   27.05   18.42    1.29
   17.22   18.42    2.17   22.70   18.42    0.64
   15.15   18.42    2.65   18.95   18.42    1.10
   11.23   18.42   14.15   15.01   18.42    3.93
   12.13   18.42   26.51   14.97   18.42    7.27
   17.22   18.42   42.08   18.42   18.42   10.57
   23.28   18.42   33.62   25.63   18.42    8.37
   26.18   18.42   10.78   29.88   18.42    2.26
   24.64   18.42    3.73   29.18   18.42    0.63
   10.19   18.42   13.17   13.63   18.42    3.99
   18.33   18.42   46.74   19.69   18.42   12.81
   27.75   18.42    9.67   31.54   18.42    1.86
   26.59   18.42    2.63   31.19   18.42    0.25
    9.62   18.42   12.70   12.03   18.42    4.26
