  110.01  100.00   68.15  151.93  100.00  369.19
   17
   23.40   19.81   19.83   41.36   27.23  100.51
   19.59   12.06    2.70   29.88   18.33   28.19
   67.11   60.54   11.45   72.53   65.91   44.94
   25.81   31.16   31.60   32.77   31.43  103.06
   24.59   30.52   13.52   26.88   30.46   45.34
   36.57   16.02    2.37   51.20   22.55   35.25
   63.01   35.56   22.74   70.29   33.60   92.91
   24.64   20.27   39.14   58.80   33.34  214.49
   53.51   60.32   17.73   61.82   68.09   74.48
   14.54    7.71    5.56   16.15    7.17   21.76
   70.19   59.65   50.98  140.38   92.42  341.15
   57.17   32.29    6.02   72.56   41.31   54.87
   58.29   43.96    8.71   47.00   41.42   34.07
   44.49   43.22   45.69   85.10   61.77  254.16
   35.01   30.13   28.27   60.06   39.54  145.95
   57.84   44.42   49.46   84.88   45.02  229.89
   34.09   43.00   28.04   42.53   44.35  102.61
