# Data from Table 3 in
#
# M. R. Luo, B. Rigg,
# Chromaticity Discrimination Ellipses for Surface Colours,
# Color Research and Application, Volume 11, Issue 1, Spring 1986, Pages 25–42,
# <https://doi.org/10.1002/col.5080110107>.
#

# Set; x; y; Y; a * 10^4; a/b; theta [deg]; overline{R}; SF

WITT      0.2514 0.3638 24.30 63  1.20 118 4.51

DF B      0.2008 0.2106  6.31 149 6.14 70  1.77
DF D      0.3063 0.2850 19.62 76  2.57 56  1.36
DF H      0.4701 0.4697 40.72 78  1.67 58  1.11
DF I      0.3477 0.3460 28.21 51  2.51 41  1.31
DF L      0.2394 0.3091  3.49 90  2.39 41  1.30
DF M      0.5442 0.3388 19.11 94  2.89 175 1.27
DF N      0.2439 0.2917 19.02 53  2.48 43  0.89
DF 0      0.3445 0.3238 38.37 61  2.75 36  1.11
DF Q      0.2676 0.4023 28.65 82  1.39 84  1.60
DF R      0.2349 0.4146 11.99 130 2.02 113 1.32
DF S      0.2010 0.2280  3.59 127 3.75 68  1.36
DF T      0.2033 0.3307 16.90 78  1.83 45  1.19 1.30

MCD 4     0.3528 0.3144 55.62 44  1.59 16  0.49
MCD 6     0.4149 0.3634 58.00 72  3.41 20  0.53
MCD 8     0.3200 0.3829 55.89 54  2.21 74  0.50
MCD 9     0.3064 0.3407 56.40 29  1.77 44  0.46
MCD 14    0.3166 0.3328  9.87 38  2.68 34  0.45
MCD 18    0.3725 0.3922 20.48 73  3.20 46  0.61
MCD 20    0.2693 0.3545 20.64 49  1.10 54  0.58
MCD 21    0.2946 0.3431 20.86 36  1.59 38  0.51
MCD 23    0.4090 0.2833 21.53 114 2.66 179 0.46
MCD 29    0.3787 0.3022 11.77 68  1.27 31  0.64
MCD 33    0.3168 0.3339 22.19 39  2.33 39  0.49
MCD 39    0.2853 0.3468 11.04 48  1.39 76  0.49
MCD 40    0.3790 0.2950 11.03 71  1.95 14  0.52
MCD 43    0.2821 0.2123 10.49 90  2.26 83  0.81
MCD 51    0.3878 0.2961 37.61 59  2.04 1   0.34
MCD 53    0.3708 0.3096 24.46 56  1.51 168 0.40
MCD 58    0.5470 0.3715 22.64 130 4.39 176 0.69 0.53

K R       0.4789 0.2994 19.76 117 2.70 176 2.1 1
K G       0.2264 0.3776 21.48 78  1.32 161 1.94
K B       0.1851 0.2237 21.60 133 5.81 57  1.54 1.86

KMET A    0.3200 0.4981 42.97 164 2.96 94  2.41
KMET B    0.3838 0.1965  4.88 123 1.56 10  1.81
KMET C    0.4347 0.4826 76.10 93  2.64 35  1.24
KMET E    0.2111 0.3480 25.54 59  1.01 25  1.96
KMET G    0.3602 0.2507  8.22 136 2.26 50  2.27
KMET I    0.1997 0.2702 25.92 58  1.80 39  1.17 1.81

JK 10     0.4219 0.4596 67.44 84  1.66 49  1.37
JK 11     0.2075 0.2175 19.18 77  2.81 60  1.50
JK 17     0.4393 0.2534 18.27 94  3.02 13  1.37
JK 23     0.4092 0.4756 70.57 77  1.78 66  1.20
JK 25     0.2813 0.4124 22.84 99  1.84 113 1.48
JK 33     0.3812 0.3266 13.92 84  1.92 1   2.20
JK 000    0.3509 0.3146 63.54 39  1.35 8   0.96
JK 300    0.2732 0.3018 59.42 37  2.52 48  0.59
JK 700    0.4672 0.2609 22.26 88  3.02 5   1.37 1.36

W J       0.4424 0.2887  7.47 129 2.74 5   1.21
W N       0.2413 0.2891 18.94 52  2.15 36  1.05
W Q       0.2716 0.3854 28.57 60  1.35 77  1.07
W S       0.2010 0.2183  3.66 110 3.42 58  1.16
W W       0.3302 0.5169 20.54 173 2.22 80  1.31 1.16
